TF,target
BRD4,MCPH1
BRD4,MSRA
BRD4,TNFRSF10B
BRD4,PTK2B
BRD4,RAB11FIP1
BRD4,TACC1
BRD4,AP3M2
BRD4,SLC20A2
BRD4,LYN
BRD4,EXT1
BRD4,NSMCE2
BRD4,DENND3
BRD4,MIS18BP1
BRD4,FUT8
BRD4,PSEN1
BRD4,ZNF410
BRD4,SPTLC2
BRD4,CRIP1
BRD4,CHMP1B
BRD4,BCL2
BRD4,ADAM17
BRD4,UBXN2A
BRD4,DTNB
BRD4,RBKS
BRD4,TTC27
BRD4,PRKD3
BRD4,MAP4K3
BRD4,PREPL
BRD4,CAMKMT
BRD4,SRBD1
BRD4,PRKCE
BRD4,RHOQ
BRD4,ACYP2
BRD4,MXD1
BRD4,TBC1D8
BRD4,LIMS1
BRD4,SPOPL
BRD4,BAZ2B
BRD4,TANK
BRD4,CCDC173
BRD4,ITGA6
BRD4,STAT1
BRD4,CREB1
BRD4,PLEKHM3
BRD4,RHBDD1
BRD4,ANKMY1
BRD4,NEDD9
BRD4,CD83
BRD4,ANKS1A
BRD4,SUPT3H
BRD4,CYB5R4
BRD4,STX11
BRD4,EZR
BRD4,FBXL5
BRD4,SEL1L3
BRD4,RHOH
BRD4,RBM47
BRD4,PLAC8
BRD4,FAM13A
BRD4,PDLIM5
BRD4,SPATA5
BRD4,SCLT1
BRD4,ELF2
BRD4,PRMT9
BRD4,ALOX5AP
BRD4,SUPT20H
BRD4,CPB2-AS1
BRD4,WDFY2
BRD4,PCCA
BRD4,SLC38A9
BRD4,PDE4D
BRD4,ZSWIM6
BRD4,SERINC5
BRD4,XRCC4
BRD4,ST8SIA4
BRD4,FER
BRD4,COMMD10
BRD4,SIL1
BRD4,CD14
BRD4,ARHGAP26
BRD4,GALNT10
BRD4,CPEB4
BRD4,SFXN1
BRD4,ACTB
BRD4,URGCP
BRD4,RABGEF1
BRD4,LAT2
BRD4,PTPN12
BRD4,CDK14
BRD4,PRKRIP1
BRD4,PNPLA8
BRD4,DOCK4
BRD4,ZNF277
BRD4,AHCYL2
BRD4,NRF1
BRD4,TPK1
BRD4,PRKAG2
BRD4,ATG7
BRD4,CMC1
BRD4,CNOT10
BRD4,LRRFIP2
BRD4,OXSR1
BRD4,TRAK1
BRD4,KLHL18
BRD4,ARHGEF3
BRD4,FOXP1
BRD4,TIPARP
BRD4,SKIL
BRD4,ST6GAL1
BRD4,BCL6
BRD4,RNF168
BRD4,NFIC
BRD4,MYO1F
BRD4,ZNF490
BRD4,IER2
BRD4,MYO9B
BRD4,ZFP36
BRD4,DHX34
BRD4,FCGRT
BRD4,AP2A1
BRD4,PHACTR4
BRD4,SLC35D1
BRD4,GTF2B
BRD4,FAM102B
BRD4,PTPN22
BRD4,ADAMTSL4-AS1
BRD4,S100A11
BRD4,FCER1G
BRD4,POU2F1
BRD4,KLHL20
BRD4,GLUL
BRD4,ATP2B4
BRD4,RPS6KC1
BRD4,DUSP10
BRD4,FBXO28
BRD4,DISC1
BRD4,CEP170
BRD4,HLCS
BRD4,HMGN1
BRD4,AP1S2
BRD4,MAGED1
BRD4,TAF1
BRD4,STK38L
BRD4,FGD4
BRD4,PCED1B
BRD4,TFCP2
BRD4,NR4A1
BRD4,TBK1
BRD4,MDM2
BRD4,FRS2
BRD4,DUSP6
BRD4,CRADD
BRD4,PLXNC1
BRD4,KDM2B
BRD4,TMEM41B
BRD4,MICAL2
BRD4,ARAP1
BRD4,FCHSD2
BRD4,RAB6A
BRD4,PRCP
BRD4,BIRC3
BRD4,MPZL3
BRD4,FLI1
BRD4,APLP2
BRD4,PATL2
BRD4,SPPL2A
BRD4,CSNK1G1
BRD4,SIN3A
BRD4,PEAK1
BRD4,AP3S2
BRD4,MCTP2
BRD4,MEF2A
BRD4,CDR2
BRD4,MAZ
BRD4,CBFB
BRD4,SLC43A2
BRD4,POLR2A
BRD4,TNFSF13
BRD4,CD68
BRD4,ZSWIM7
BRD4,SPECC1
BRD4,KSR1
BRD4,RARA
BRD4,ARHGAP27
BRD4,VMP1
BRD4,USP32
BRD4,ERN1
BRD4,SLC39A11
BRD4,WDR45B
BRD4,METRNL
BRD4,GPCPD1
BRD4,DTD1
BRD4,KLF6
BRD4,ARL5B
BRD4,DNAJC1
BRD4,ZEB1
BRD4,MICU1
BRD4,MCU
BRD4,GLUD1
BRD4,BTAF1
BRD4,CPEB3
BRD4,ENTPD1-AS1
BRD4,ITPRIP
BRD4,PTPRE
BRD4,PFKFB3
BRD4,VIM
BRD4,SVIL
BRD4,MAP3K8
BRD4,ZNF438
BRD4,CCDC7
BRD4,ITGB1
BRD4,RASSF4
BRD4,MAPK8
BRD4,IPMK
BRD4,UBE2D1
BRD4,CCDC6
BRD4,ANK3
BRD4,P4HA1
BRD4,ZMIZ1
BRD4,RRP12
BRD4,GBF1
BRD4,SUFU
BRD4,MXI1
BRD4,SMC3
BRD4,PDZD8
BRD4,GRK5
BRD4,CTBP2
BRD4,TALDO1
BRD4,CTSD
BRD4,KCNQ1OT1
BRD4,DENND5A
BRD4,SBF2
BRD4,ELP4
BRD4,HIPK3
BRD4,CD44
BRD4,PHF21A
BRD4,PTPRJ
BRD4,FTH1
BRD4,RTN3
BRD4,ATG2A
BRD4,NEAT1
BRD4,CTSW
BRD4,GSTP1
BRD4,CHKA
BRD4,FAM168A
BRD4,ARRB1
BRD4,ACER3
BRD4,PAK1
BRD4,GAB2
BRD4,PICALM
BRD4,TMEM135
BRD4,CTSC
BRD4,MAML2
BRD4,UBASH3B
BRD4,ETS1
BRD4,GABARAPL1
BRD4,YBX3
BRD4,ETV6
BRD4,DUSP16
BRD4,CPNE8
BRD4,LRRK2
BRD4,STAT6
BRD4,GNS
BRD4,TMTC2
BRD4,ATP2B1
BRD4,CHST11
BRD4,SH2B3
BRD4,MED13L
BRD4,NCOR2
BRD4,ZNF10
BRD4,KANK1
BRD4,JAK2
BRD4,C9orf72
BRD4,UBAP1
BRD4,GLIPR2
BRD4,GNAQ
BRD4,AGTPBP1
BRD4,NFIL3
BRD4,NR4A3
BRD4,KLF4
BRD4,MEGF9
BRD4,STRBP
BRD4,DENND1A
BRD4,PBX3
BRD4,ABL1
BRD4,MED27
BRD4,RXRA
BRD4,C20orf194
BRD4,ATRN
BRD4,C20orf27
BRD4,RNF24
BRD4,TMX4
BRD4,TASP1
BRD4,ABHD12
BRD4,TGIF2
BRD4,PPP1R16B
BRD4,ARFGEF2
BRD4,CEBPB
BRD4,CTSZ
BRD4,PISD
BRD4,TOM1
BRD4,HMOX1
BRD4,SREBF2
BRD4,PLXNB2
BRD4,SCO2
BRD4,TYMP
BRD4,ID2
BRD4,SMC6
BRD4,RHOB
BRD4,LBH
BRD4,LCLAT1
BRD4,HEATR5B
BRD4,TTC7A
BRD4,CCDC88A
BRD4,COMMD1
BRD4,EHBP1
BRD4,WDPCP
BRD4,VPS54
BRD4,PELI1
BRD4,PPP3R1
BRD4,EXOC6B
BRD4,ALMS1
BRD4,TET3
BRD4,ST3GAL5
BRD4,EIF2AK3
BRD4,DUSP2
BRD4,MAP3K2
BRD4,MGAT5
BRD4,R3HDM1
BRD4,CXCR4
BRD4,GTDC1
BRD4,GPD2
BRD4,GCA
BRD4,CERS6
BRD4,PDK1
BRD4,ATF2
BRD4,NFE2L2
BRD4,SESTD1
BRD4,UBE2E3
BRD4,HIBCH
BRD4,STAT4
BRD4,BMPR2
BRD4,FAM117B
BRD4,CD28
BRD4,KLF7
BRD4,KANSL1L
BRD4,SLC11A1
BRD4,EPHA4
BRD4,WDFY1
BRD4,LRRFIP1
BRD4,SNED1
BRD4,ARHGEF40
BRD4,NFKBIA
BRD4,GCH1
BRD4,LGALS3
BRD4,FBXO34
BRD4,PELI2
BRD4,DAAM1
BRD4,HIF1A
BRD4,SYNE2
BRD4,MAX
BRD4,GPHN
BRD4,RAD51B
BRD4,SIPA1L1
BRD4,NUMB
BRD4,NPC2
BRD4,FOS
BRD4,TTLL5
BRD4,CEP128
BRD4,BTBD7
BRD4,BCL11B
BRD4,YY1
BRD4,RCOR1
BRD4,DHRSX
BRD4,PRKX
BRD4,TMSB4X
BRD4,SYAP1
BRD4,SAT1
BRD4,CASK
BRD4,TIMP1
BRD4,ATRX
BRD4,DIAPH2
BRD4,TMEM164
BRD4,XIAP
BRD4,MTM1
BRD4,SUMF1
BRD4,BHLHE40
BRD4,NR2C2
BRD4,ANKRD28
BRD4,SATB1-AS1
BRD4,UBE2E2
BRD4,NR1D2
BRD4,CMTM6
BRD4,CTNNB1
BRD4,ABHD5
BRD4,ANO10
BRD4,SFMBT1
BRD4,TKT
BRD4,PXK
BRD4,LRIG1
BRD4,GBE1
BRD4,FILIP1L
BRD4,NFKBIZ
BRD4,OSBPL11
BRD4,TMCC1
BRD4,STAG1
BRD4,ATP1B3
BRD4,TFDP2
BRD4,PLSCR1
BRD4,TSC22D2
BRD4,PPM1L
BRD4,FNDC3B
BRD4,TBL1XR1
BRD4,IL1RAP
BRD4,ATP13A3
BRD4,TFRC
BRD4,SERPINB1
BRD4,TMEM170B
BRD4,JARID2
BRD4,E2F3
BRD4,IER3
BRD4,LTB
BRD4,LST1
BRD4,AIF1
BRD4,HSPA1A
BRD4,HLA-DMA
BRD4,FKBP5
BRD4,RUNX2
BRD4,CD2AP
BRD4,KCNQ5
BRD4,AKIRIN2
BRD4,UBE2J1
BRD4,BACH2
BRD4,PRDM1
BRD4,PDSS2
BRD4,FOXO3
BRD4,CDK19
BRD4,MARCKS
BRD4,DSE
BRD4,MCM9
BRD4,MAN1A1
BRD4,STX7
BRD4,SGK1
BRD4,AHI1
BRD4,CITED2
BRD4,PHACTR2
BRD4,PLAGL1
BRD4,UST
BRD4,SOD2
BRD4,MAP3K4
BRD4,QKI
BRD4,CDK8
BRD4,SLC7A1
BRD4,HSPH1
BRD4,FRY
BRD4,ELF1
BRD4,EPSTI1
BRD4,RCBTB2
BRD4,KPNA3
BRD4,DLEU2
BRD4,DLEU1
BRD4,DOCK9
BRD4,CLYBL
BRD4,ATP11A
BRD4,XKR6
BRD4,CTSB
BRD4,ATP6V1B2
BRD4,SLC25A37
BRD4,DOCK5
BRD4,BNIP3L
BRD4,DPYSL2
BRD4,WRN
BRD4,SPIDR
BRD4,CEBPD
BRD4,TOX
BRD4,MYBL1
BRD4,SGK3
BRD4,STAU2
BRD4,TPD52
BRD4,RIPK2
BRD4,CPQ
BRD4,STK3
BRD4,KLF10
BRD4,OXR1
BRD4,RAD21
BRD4,SNTB1
BRD4,FBXO32
BRD4,MTSS1
BRD4,PVT1
BRD4,HSF1
BRD4,TRIO
BRD4,BASP1
BRD4,HMGCS1
BRD4,CWC27
BRD4,HEXB
BRD4,ARSB
BRD4,ZFYVE16
BRD4,MEF2C
BRD4,MCTP1
BRD4,ELL2
BRD4,CHD1
BRD4,PAM
BRD4,IRF1
BRD4,CYSTM1
BRD4,DUSP1
BRD4,ISG15
BRD4,SLC25A33
BRD4,UBE4B
BRD4,KIF1B
BRD4,PGD
BRD4,TNFRSF1B
BRD4,EFHD2
BRD4,IFFO2
BRD4,EIF4G3
BRD4,NIPAL3
BRD4,FGR
BRD4,IFI6
BRD4,EYA3
BRD4,HDAC1
BRD4,RNF19B
BRD4,AGO4
BRD4,CSF3R
BRD4,SCMH1
BRD4,HIVEP3
BRD4,JUN
BRD4,NFIA
BRD4,PDE4B
BRD4,ODF2L
BRD4,HS2ST1
BRD4,LRRC8D
BRD4,TGFBR3
BRD4,EVI5
BRD4,CDC14A
BRD4,VAV3
BRD4,WDR47
BRD4,BCAS2
BRD4,CD58
BRD4,RPRD2
BRD4,S100A6
BRD4,LMNA
BRD4,CD247
BRD4,RALGPS2
BRD4,QSOX1
BRD4,RGS1
BRD4,RGS2
BRD4,DSTYK
BRD4,MAPKAPK2
BRD4,LPGAT1
BRD4,ATF3
BRD4,ITPKB
BRD4,LYST
BRD4,EFCAB2
BRD4,SMYD3
BRD4,NRIP1
BRD4,APP
BRD4,BACH1
BRD4,IFNGR2
BRD4,LINC00649
BRD4,RUNX1
BRD4,GNA12
BRD4,GLCCI1
BRD4,AHR
BRD4,SKAP2
BRD4,JAZF1
BRD4,CREB5
BRD4,BBS9
BRD4,EEPD1
BRD4,AOAH
BRD4,TYW1B
BRD4,YWHAG
BRD4,GSAP
BRD4,PHTF2
BRD4,CDK6
BRD4,SLC25A13
BRD4,SMURF1
BRD4,CUX1
BRD4,ORAI2
BRD4,ATXN7L1
BRD4,NAMPT
BRD4,MDFIC
BRD4,CAPZA2
BRD4,TBXAS1
BRD4,RAB31
BRD4,ABHD3
BRD4,MAPRE2
BRD4,GALNT1
BRD4,KIAA1328
BRD4,PSTPIP2
BRD4,PIAS2
BRD4,PMAIP1
BRD4,PHLPP1
BRD4,NFATC1
